Key,Law,Domain,Law_Summary,,,,,,,,,,,,,,,,,,,,,,
363,"(1) Road Marking ""ZEBRA"" Pedestrian crossing on a two-lane road which shows the Road Marking required to be placed on the carriageway of a two lane road to indicate a Pedestrian Crossing, the placement of road studs and zigzag marking shall be optional, that is to say the Road Marking at a Pedestrian Crossing comprise essentially of a band of stripes laid across the carriageway where the pedestrians have the right of way, subject to the provisions of paragraph (2) and (3) of this regulation and paragraph (2) of regulation 32, and two give way lines similar to Road Marking “'Give Way' line at 'Give Way' signs at Roundabouts"" placed across the carriageway on either side of the band ""of stripes in conformity with Road Marking ""'ZEBRA' pedestrian crossing on a two-lane road"", subject to the provisions of this regulation.
(2) Road Marking ""'ZEBRA' Pedestrian crossing on a four-lane road"" shows the Road Marking required to be placed on the carriageway of a four lane road to indicate a Pedestrian Crossing, the placement of studs and zigzag marking are optional. Road Marking ""Pedestrian Operated signal crossing"" shows the Road Marking required to be placed on the carriageway of a pedestrian activated signalized Pedestrian Crossing, the placement of studs and zigzag marking are optional. Road Markings ""'ZEBRA' Pedestrian crossing on a raised block paving (two lane road)"" and ""'ZEBRA' pedestrian crossing on raised block paving (four-lane road)'' specify the Markings required to be placed on the carriageway for raised Pedestrian Crossings on two lane and four lane roads, the placement of zigzag markings is optional. Road Marking ""'ZEBRA' Pedestrian crossing with rumble strips'' shows the Road Marking to be placed on the carriageway for Pedestrian Crossing with rumble strips on a four lane road the placement of zigzag marking is optional.
(3) Any reference to a Pedestrian Crossing in these regulations shall mean a reference to-
(a) The band of stripes shown in Road Markings depicted below placed on a road carriageway in conformity with these regulations where such a Road Marking is visible
RM-27 - ""ZEBRA"" Pedestrian crossing on a two-lane road
RM-28 - ""ZEBRA"" Pedestrian crossing on a four-lane road
RM-29 - Pedestrian operated signal crossing
RM-30 - ""ZEBRA"" Pedestrian crossing on a raised block paving (two-lane road)
RM-31 - ""ZEBRA"" Pedestrian crossing on a raised block paving (four-lane road)
RM-32 - ""ZEBRA"" Pedestrian crossing with rumble strips and
(b) That portion of the carriageway whose boundaries across the carriageway are abreast of Sign that depicts ""Pedestrian crossing"" placed at each side of road, where the Road Marking of a band of stripes is not visible for the time being.
Provided however that in the application and enforcement of provisions of paragraphs (6), (7) and (8) of this regulation and paragraph (3) (b) of regulation 32 at a place where a median, a refuge or an island is placed on or about the middle of a road, the term ""Pedestrian Crossing"" with respect to vehicles approaching it, shall mean the section of the band of stripes or portion of carriageway referred to in clauses (a) and (b) above as a Pedestrian Crossing, between the said median, refuge or island and the edge of carriageway which will be traversed upon by such vehicles approaching the Pedestrian Crossing and in the case of any such Pedestrian Crossing the give-way line, road studs and zig zag markings may be placed only on that section of the carriageway which is traversed upon by approaching vehicles in advance of the Pedestrian Crossing.
(4) The Sign that depicts ""Pedestrian crossing"" notifying a Pedestrian Crossing shall be placed at a Pedestrian Crossing facing approaching traffic on the near side of approaching traffic, outside the carriageway and shall be positioned in line with the edge of the Road Marking referred to as Pedestrian Crossing in paragraph (3) (a) of this regulation, which is nearer to such approaching traffic. Such a sign shall continue to remain in that position whether the aforesaid Road Marking is visible or not and its position be changed only to conform to the aforesaid requirement of this regulation if and when the position or width of the aforesaid Road Marking is altered.
(5) When the Competent Authority considers it necessary road studs and zigzag markings may be provided according to the provisions in this regulation, at his discretion.
(6) A Pedestrian Crossing shall be used by pedestrians with due care given to the vehicles approaching it, or according to the directions given by a Police Officer or according to the indication of a Traffic Light Signal where such Pedestrian Crossing is controlled by such signal.
(7) No pedestrian shall cross a road in such a manner as to cause undue delay to any vehicle stopped in conformity with the provisions of paragraph (7) of this regulation or paragraph (3) (b) of regulation 32 or cause any obstruction or delay to other pedestrians using the Pedestrian Crossing.
(8) Where a Pedestrian Crossing is provided on a road, no pedestrian shall cross that road at any other place within a distance of fifty meters from that crossing other than at any other Pedestrian Crossing. Such a distance from a Pedestrian Crossing shall be taken to be the distances measured along the road from the nearest point of the Road Marking referred to as Pedestrian Crossing in paragraph (1) (a) of this regulation or the distance measured along the road from a point abreast of the nearer of the Sign that depicts ""Pedestrian crossing"" placed at a side of the road where the Road marking referred to as Pedestrian Crossing in paragraph (3) (a) of this regulation is not visible for the time being.
(9) Every driver of any vehicle approaching a Pedestrian Crossing shall reduce the speed of such vehicle to enable it to stop at the Give way line of such crossing or before crossing the give-way line or to stop before reaching such crossing,if the give-way line is not visible for the time being, or to stop with no part of the vehicle positioned beyond Sign ""Pedestrian crossing"" placed at the near side of the road, if the give-way line and the Road Marking referred to as Pedestrian Crossing in paragraph (3) (a) of this regulation are not visible for the time being.
(10) Where any pedestrian is at a Pedestrian Crossing where for the time being, traffic is not controlled by a Police Officer or where Light Signals which give directions to pedestrians to cross the road are not provided or are not functioning, every vehicle approaching such crossing shall be brought to a halt not beyond Give way line of such crossing or before reaching such a crossing if the Give way line is not visible for the time being, shall be brought to a halt with no part of the vehicle positioned beyond Sign that depicts ""Pedestrian Crossing"" placed at the near side of the road, and where the Road marking referred to as Pedestrian Crossing in paragraph (3) (a) of this regulation and the Give way lines are not visible for the time being, and may thereafter proceed with due regard to the safety of any pedestrian using such Pedestrian Crossing.
(11) Every vehicle approaching a Pedestrian Crossing where traffic is for the time being controlled by a Police Officer shall move ahead and traverse that section of the carriageway referred to as the Pedestrian Crossing in paragraph (3)(a) of this regulation according to the directions given by the Police Officer and with due regard to the safety of any pedestrian using the Pedestrian Crossing.
(12) No vehicle shall be stopped whether wholly or partly upon a Pedestrian Crossing or within a distance of thirty meters from a Pedestrian Crossing from the give-way line in the approach side and fifteen meters from the nearest end of pedestrian crossing on the exit side from the pedestrian crossing unless:
(a) such vehicle is prevented from proceeding by circumstances beyond the control of the driver or
(b) it is necessary to do so in order to avoid an accident.
(13) The width of a Pedestrian Crossing shall be not less than two thousand four hundred millimeters.
(14) A sign having the symbol in the Sign that depicts ""Pedestrian Crossing"" portraying a pedestrian, crossing the road from the left side to the right side reversed to portray a pedestrian, crossing the road from the right side to the left side but conforming in all other respects to the Sign that depicts ""Pedestrian crossing"" and the requirements specified for the Sign that depicts ""Pedestrian Crossing"", shall have the same status.",Motor Traffic Law,"The regulations for road markings related to pedestrian crossings. For a ""ZEBRA"" pedestrian crossing on a two-lane road, road markings consist of a band of stripes, give way lines, and optional studs or zigzag markings. Similar rules apply to four-lane roads and raised block paving. The ""Pedestrian Crossing"" sign must be positioned in line with the road marking. Pedestrians, drivers, and vehicles have specific guidelines for using or approaching pedestrian crossings. Vehicles must stop at the give-way line, and drivers should yield to pedestrians. No vehicle is allowed to stop on or within specified distances from a pedestrian crossing, except in specific circumstances. The width of a pedestrian crossing must be at least 2400 millimeters, and a reversed symbol on the pedestrian crossing sign has the same status.",,,,,,,,,,,,,,,,,,,,,,
364,"In addition to the Road Markings below, the upper and vertical surfaces of the adjoining kerbs may be painted yellow over the full length of that part of the road to which the prohibition or restriction of parking or parking and standing applies.
RM-16 - No parking line
RM-17 - No parking double line
RM-18 - No parking double line with reflective studs",Motor Traffic Law,"In addition to certain road markings related to parking restrictions ( No parking line, No parking double line, No parking double line with reflective studs), the upper and vertical surfaces of adjacent kerbs can be painted yellow along the relevant road section. This yellow coloring serves to indicate and enforce the prohibition or restriction of parking or both parking and standing in that particular area.",,,,,,,,,,,,,,,,,,,,,,
365,"Light Signals which may be used for the control of drivers and for the provision of information and directions to pedestrians at sites approved by the Competent Authority, shall be as specified in the following regulations.",Motor Traffic Law,"The approved sites, as determined by the Competent Authority, may use specified Light Signals for controlling drivers and providing information and directions to pedestrians.",,,,,,,,,,,,,,,,,,,,,,
366,"(1) Light Signals for control of drivers at intersections of roads and intersections with rail roads shall be of the size, color and type specified as follows:
(a) subject to the provisions of paragraph (2) Light Signals, shall comprise three lights, one red, one amber and one green arranged vertically with the lamp showing a red light being the uppermost and that showing a green light the lower most. In the alternative Light Signals shall comprise three lights, one red, one amber and one green arranged horizontally and placed vertically above the carriageway. The red light shall be closer to the center-line of the carriageway, followed by the amber light and the green light
(b) Each lamp shall be separately illuminated and the effective diameter of the lens thereof shall be not less than one hundred and ninety-five millimeters and not more than two hundred and twenty millimeters
(c) The height of the center of the amber lens from the surface of the carriageway nearest to it shall be, in the case of signals placed at the side of the carriageway or a road refuge or a median, not less than two point four(2.4) meters and not more than four (4) meters and in the case of signals placed over the carriageway, not less than six point one (6.1) meters and not more than nine meters
(d) The centers of adjacent lenses shall be not less than three hundred and five millimeters and not more than three hundred and sixty millimeters apart
(e) No lettering shall be used on the lenses or in connection with a Light Signals and
(f) The sequence of the Light Signals shown for the purpose of controlling a driver, shall be as follows:
(i) red,
(ii) amber and red together,
(iii) green,
(iv) amber.
(2) The Light Signals specified in paragraph (1) may comprise a lamp with a lens or lamps with lenses of the size, color and type shown in the sign that depicts ""Green Arrow"", which when illuminated show a green arrow together with red and amber lights, subject to the following provisions:
(i) where the Light Signals are without a green light, two green arrows or at least one green arrow, as the case may be, shall be assigned in place of the green light
(ii) when the Light Signals are with the green light, has been assigned, in accordance with the provisions of sub-paragraph (i) the green arrow or other green arrow and
(iii)any additional green arrow
(b) the directions in which the arrow of any lamp shown in diagram that depicts ""Green arrow"" of the Schedule VI to these regulations, points may be varied so as to be a direction which lies straight upright or a direction which is a tan angle of one hundred and thirty-five degrees either to the left or to the right of the said upright direction, to denote the direction of a road extending from a junction for which separate signal indications are considered necessary by the Competent Authority
(c) notwithstanding the other provisions of this regulation, a green arrow which gives indications to drivers to turn left at a junction, may be placed separately from the other Light Signals specified in such paragraphs, at the near side of the road to the vehicle approaching the junction to turn left, with or without a red lamp as specified in paragraph (1) of this regulation affixed above it. The height of the center of the lens of such a green arrow from the surface of carriageway nearest to it, shall be the same as that determined for the position
(d) the distance between the center of a lens with a green arrow and the center of any other lens affixed next in position immediately above, below or to the side of the first mentioned lens, shall be as specified in sub-paragraph (d) of paragraph (1) of this regulation or not less than four hundred and fifteen (415) millimeters and not more than four hundred and forty (440) millimeters if the diameter of the lens of the green arrow is the larger of the two sizes specified in the sign ""Green Arrow""",Motor Traffic Law,"The requirements for Light Signals used to control drivers at road intersections and intersections with railroads. The signals consist of three lights (red, amber, and green), arranged either vertically or horizontally. Each lamp has a specified diameter, and the height of the center of the amber lens is regulated based on its placement. The sequence of signal lights for drivers is red, amber and red together, green, and amber. Additionally, the signals may include a green arrow indicating specific turning directions, subject to certain provisions. The law defines the specifications, placement, and distances between lenses for the green arrow signals. No lettering is allowed on the lenses, and the specified sequence and configurations aim to provide clear indications to drivers at intersections.",,,,,,,,,,,,,,,,,,,,,,
367,"(1) The significance of Light Signals specified in paragraph (1) of regulation 31 shall be as follows:
(a) except as provided in paragraph (6) of this regulation, the red signal shall convey a prohibition that drivers shall not proceed beyond the stop line on the carriageway, provided in conjunction with the signals or if that line is not for the time being visible or there is no stop line, beyond the nearer of the signals facing such traffic
(b) the amber with red signal shall denote an impending change in the indication given by the signal from red to green but shall not alter the prohibition conveyed by the red signal
(c) the green signal shall indicate that driver is required to pass the signals with caution and proceed straight on or to the left or to the right and
(d) the amber signal shall, when shown alone, convey the prohibition that drivers shall not proceed beyond the stop line or, if that line is not for the time being visible or if there is no stop line, beyond the nearer of the signal facing such traffic, except in the case of any vehicle which, when the signal first appears, is so close to the said line or signal that it cannot safely be stopped before passing the stop line or the aforesaid signal.
(2) The significance of Light Signals specified in paragraph (2), shall be as follows:
(a) subject to the provisions of sub-paragraph (c) of paragraph (2) and paragraph 6 of this regulation, the red signal shall convey the prohibition that drivers shall not proceed beyond the stop line on the carriageway,provided in conjunction with the signal or if the stop line is not for the time being visible, beyond the nearer the signal facing such traffic
(b) subject to the provisions of paragraph (2c) of this Regulation the amber with red signal shall denote an impending change in the indication given by the signal from red to green where a green signal is provided or from red to green arrow or green arrows, but shall not alter the prohibition conveyed by the red signal as specified in sub-paragraph (a) of paragraph (2) of this regulation
(c) a green arrow, till such time as it is illuminated, shall indicate that drivers for whose benefit such a signal is displayed, is required to pass the signal and proceed along a road extending from the junction in the direction indicated by the green arrow notwithstanding any other indication given by the other signal
(d) the green signal where it is provided, shall indicate that driver is required to pass the signal and proceed straight on or to the left or to the right and
(e) amber signal shall when shown alone, convey the prohibition that drivers shall not proceed beyond the stop line or if the stop line is not for the time being visible beyond the nearer of the signal, facing such traffic except in the case of any vehicle, which when the signal first appears is so close to the said line or signal that it cannot safely be stopped before passing the stop line or signal.
(3) (a) Any vehicle passing any Light Signal in accordance with the foregoing provisions of this Regulation, shall proceed with due regard to the safety of other road users and subject to the direction of any Police Officer or other duly authorized person who may be engaged in the regulation of traffic.
(b) When a pedestrian is, in accordance with the provisions of paragraph (2) of this Regulation, using a Pedestrian Crossing where Light Signals which give directions to pedestrians to cross the road, are in operation for the time being, any vehicle approaching such crossing shall be brought to a halt at a position determined according to requirements specified in paragraph (9) of Regulation 28 for determining the position at which any vehicle is required to be brought to a halt at such a Pedestrian Crossing and may thereafter proceed with due regard to the safety of any such pedestrian.
(c) No vehicle passing any Light Signals, in accordance with the provisions of paragraphs (1) and (2) of this regulation turning right through an intersection into a road, shall cross the path of any vehicle moving into or through the intersection or merge with any vehicles moving into such road in accordance with the indications displayed to such vehicles by the Light Signals in operation at the intersection, in such a manner or at such a time as is likely to cause danger to such vehicle or to the driver of any such other aforesaid vehicle or the occupants thereof or to necessitate the drivers of any such vehicles to change its speed or course.
Provided however, any such vehicle turning right through an intersection, which has to cross the path of another vehicle turning right through the intersection from another approach road of the intersection at the same time, shall give way to the other vehicle if the other vehicle is moving from the right side or off side of the former vehicle and any vehicle turning left on to a road at an intersection, in accordance with the provisions of paragraphs (1) and (2) of this regulation, shall give way to vehicles moving from the right side or off side into or turning into the same aforesaid road in accordance with the indications displayed to such vehicles by the Light Signals in operation at the intersection, when merging with such other vehicles.
(4) Subject to the provisions of paragraph (3) of this regulation, when the green light of Light Signals specified in regulation 31 is displayed, drivers for whose benefit the green light is displayed, must pass the signals and proceed straight on or to the left or to the right to clear the intersection and its immediate approaches as speedily as possible unless such a vehicle is prevented from proceeding in such a manner and is compelled to wait, or stop due to reasons beyond the control of the driver of such vehicle.
(5) Subject to the provisions of paragraph (3) of this Regulation, where traffic signals are provided in accordance with paragraph (2) of Regulation 31, vehicles in a lane or on the side of a carriageway meant for traffic required to move in the direction indicated by a green arrow, where such a green arrow is displayed, must proceed in the direction indicated by the green arrow to clear the intersection and its immediate approaches as speedily as possible unless such a vehicle is prevented from proceeding in such a manner or is compelled to wait, or stop due to reasons beyond the control of the driver of such vehicle.
(6) Where a vehicle is required to respond to any emergency call and used by Fire brigade, Ambulance or Police or Armed services and the observance of the prohibition conveyed by the red signal as provided in paragraphs (1) and (2) of this regulation, would be likely to hinder the use of that vehicle for such purposes, then such vehicles are exempted from the observance of such a prohibition and may proceed beyond the stop line or the nearer of the signal facing such traffic, as the case may be, in such a manner or at such a time as is not likely to cause danger to any other road user proceeding on or from another road or on or from another part of the same road, in accordance with the Light Signals operating there in association with such red signal.
(7) The stop line referred to in these regulations shall mean the Road Marking ""Stop line at 'STOP' signs or at traffic signals"".",Motor Traffic Law,"The significance of Light Signals for controlling drivers at intersections. The red signal prohibits drivers from proceeding beyond the stop line, or if not visible, beyond the nearer signal facing the traffic. The amber with red signal indicates an impending change from red to green but doesn't alter the red signal's prohibition. The green signal allows drivers to proceed with caution, and the amber signal alone prohibits drivers from crossing the stop line, except for vehicles too close to stop safely.
Additional points include requirements for vehicles passing signals, considerations at pedestrian crossings with Light Signals, and rules for turning right or left at intersections. Exceptions are granted for emergency vehicles responding to calls. The stop line is defined as the Road Marking ""Stop line at 'STOP' signs or at traffic signals."" Overall, the law provides detailed instructions on the interpretation and actions related to Light Signals at intersections.",,,,,,,,,,,,,,,,,,,,,,
368,"(1) Subject to provisions of paragraph (3) of this regulation, Light Signals used to give directions to only pedestrians to cross a road which may be used in conjunction with Light Signals prescribed in regulation 31, shall be of the size, color and type and designed and placed as follows:
(a) subject to the provisions of paragraph (3) of this Regulation, Light Signals for pedestrians shall comprise two Light Signals, one of which shall be internally illuminated by a steady light to display an image of a standing pedestrian in red (hereinafter referred to as the ""red signal"" and the other internally illuminated by a steady light to display an image of a walking pedestrian in green (hereinafter referred to as the ""green signal""), as shown in the signs that depicts Light signals for pedestrians and an alternative to it, and when one signal is illuminated, the other shall not be illuminated
(b) the two Light Signals referred to in sub-paragraph (a) shall be arranged vertically with the red signal being at the top and the green signal at the bottom
(c) the height of the lower edge of the container enclosing the Light Signals from the surface of the carriageway nearest to it, shall be not less than two point one (2.1) meters and not more than two point six meters and
(d) Light Signals for pedestrians shall be placed facing across the carriageway and so shielded to exclude the possibility of their being mistaken by drivers for Light Signals for vehicular traffic.
(2) (a) The period during which pedestrians should not cross the carriageway for their safety, shall be indicated by an illuminated red signal.
(b) The period during which pedestrians should cross the carriageway for their safety, shall be shown by an illuminated green Light Signal subject to the provisions of paragraph (3) of this regulation.
(3) Where provision has been made for the green signal to flash by displaying the illuminated green image immediately after the period during which the said image was illuminated by a steady non-flashing green light,the red signal shall be illuminated immediately after the flashing green signal is extinguished. The indication given by such a flashing green signal is an impending change to red and conveys the warning to pedestrians who have not already stepped onto the carriageway for crossing it, that in the interests of their safety they should not step on to the carriageway to cross it after such flashing green signal appeared.
(4) Subject to the provisions of paragraphs (1), (2) and (3) of this regulation, pedestrian controlled signals activated by the operation of a push button as indicated in the sign ""Pedestrian operated light signal"" may be provided to enable pedestrians to obtain right of way on demand. Where such pedestrian controlled signals are provided and if the signal for the pedestrian is red, the pedestrians shall press the push button and wait until the green man appears for the pedestrians and the red signal for the motorized traffic before stepping on to the Pedestrian Crossing.",Motor Traffic Law,"The regulations for Light Signals designed exclusively for pedestrians at crosswalks. These signals consist of two lights arranged vertically – a red signal depicting a standing pedestrian and a green signal depicting a walking pedestrian. The lower edge of the signal container must be positioned between 2.1 to 2.6 meters from the carriageway surface, and the signals must be shielded to prevent confusion with vehicular traffic signals.
The red signal indicates a period during which pedestrians should not cross for safety, while the green signal indicates a safe period for crossing. Additionally, a provision allows the green signal to flash before turning red, serving as a warning to pedestrians not yet on the carriageway to refrain from crossing.
Pedestrian-controlled signals, activated by a push button, may be implemented to grant pedestrians the right of way. If the signal is red, pedestrians must press the button and wait until the green signal appears, along with a red signal for motorized traffic, before crossing the Pedestrian Crossing.",,,,,,,,,,,,,,,,,,,,,,
369,"Flashing Light Signals which display intermittent red or amber lights, may be used to give indications to drivers at sites approved by the Competent Authority, subject to the provisions of the following Regulations.",Motor Traffic Law,"The Motor Traffic Amendment permits the use of Flashing Light Signals with intermittent red or amber lights to provide indications to drivers at approved sites, as regulated.",,,,,,,,,,,,,,,,,,,,,,
370,"(1) Flashing Light Signals which may be used only at unprotected railway level crossings, ferry boat landing stages, jetties or at places where aircrafts fly across the road at low altitudes, shall be of the size, color and type specified as follows:
(a) a pair of lamps with each lamp showing an intermittent red light shall be used
(b) the effective diameter of the lens of each lamp shall be not less than one hundred and ninety five (195) millimeters and not more than two hundred and twenty (220) millimeters
(c) each lamp shall be separately illuminated and when the signal is operated, each lamp shall show its intermittent red light at a rate of flashing of not less than sixty (60) flashes and not more than ninety (90) flashes, perminute and in such a manner that the light of one lamp is always illuminated at a time when the light of the other lamp is not illuminated and
(d) the lamps shall be affixed and placed so that the centers of their lenses shall be at the same horizontal level at a height above the surface of the carriageway nearest to them in the case of signals placed at the side of the carriageway or on a road refuge or median not less than two point four (2.4) meters and not more than four (4) meters and in the case of signals placed over the carriageway not less than six point one (6.1) meters and not more than nine (9) meters and the distance between the centers of the lenses of the pair of lamps shall not be less than five hundred and fifty (550) millimeters and not more than six hundred and forty (640) millimeters.
(2) The significance of the red flashing Light Signal specified in this regulation shall be that the intermittent red lights when displayed, conveys the prohibition that drivers shall not proceed beyond that light and when the flashing red is displayed that drivers shall stop and proceed with caution.",Motor Traffic Law,"Flashing Light Signals, limited to use at unprotected railway level crossings, ferry boat landing stages, jetties, or areas with low-flying aircraft, must adhere to specified criteria. These signals consist of a pair of lamps, each intermittently displaying a red light with a flashing rate between 60 and 90 flashes per minute. The lamps are individually illuminated, ensuring one is always lit while the other is not. The signals should be positioned at a specified height and distance, with the significance being that when the intermittent red lights are displayed, drivers are prohibited from proceeding beyond that point. When the flashing red is displayed, drivers must stop and proceed with caution.",,,,,,,,,,,,,,,,,,,,,,
371,"(1) A single amber flashing light or a pair of amber flashing lights shall be of the size, color and type specified as follows:
(a) where a single amber flashing light is used, it shall be placed with the center of its lens at a height above the surface of the carriageway nearest to it, and in the case of a signal placed at the side of the carriageway or ona road refuge or median it shall be placed not less than two point four (2.4) meters and not more than four (4) meters and in the case of a signal placed over the carriageway not less than six point one (6.1) meters and not more than nine (9) meters. Such a lamp shall show its intermittent amber light at a rate of flashing not less than one hundred and twenty (120) flashes and not more than one hundred and fifty (150) flashes per minute and the period between flashes shall not exceed one-fourth of a second and such a lamp shall have a lens of effective diameter as specified in paragraph (b) of regulation 35
(2) The driver of any vehicle proceeding past the amber flashing light signal shall drive with caution.
(3) Amber flashing Light Signals may be placed at approaches to intersections or at intersections without Traffic Light Signals or at intersections with Traffic Signals, provided the flashing amber Light Signals are operated only at times when the Traffic Light Signals are not operated.",Motor Traffic Law,"Amber flashing lights, either a single light or a pair, must adhere to specified criteria, including height placement and flashing rates. A single amber flashing light, positioned at a specified height, should intermittently flash at a rate between 120 and 150 flashes per minute, with each flash lasting no more than one-fourth of a second. Drivers passing such signals must proceed with caution. These amber flashing lights may be placed at intersections or approaches, provided they are operated only when Traffic Light Signals are not in use.",,,,,,,,,,,,,,,,,,,,,,
372,"(1) The Competent Authority may restrict or prohibit parking of vehicles by Signs ""No parking"" to ""No parking on even days"" or by Road
Markings shown in Schedule V to these regulations, in the following places:
(a) Within twenty five meters (25m) of an intersection or within ten meters (10m) of an intersection on a minor road.
(b) Within thirty meters (30m) on approach of an omnibus stopping place and fifteen meters (15m) on the departure side of an omnibus stopping place.
(c) Inside an area which is designated as a omnibus stopping bay within fifteen meters (15m) on the approach to the bay and ten meters (10m) from the departure point of the omnibus stopping bay
(d) Within thirty meters (30m) from a Pedestrian Crossing along the near side of the approach to the Pedestrian Crossing or within fifteen meters (15m) of the departure side of Pedestrian Crossing or on a Pedestrian Crossing or
(e) Within fifty meters (50m) of the approach side of traffic lights at an intersection or within thirty meters (30m) of pedestrian operated traffic lights not at an intersection and fifteen meters (15m) of the departure side of pedestrian operated traffic signals.
(2) The distance for this purpose shall be measured and marked for road markings.",Motor Traffic Law,"The Competent Authority has the authority to regulate or forbid vehicle parking through designated signs or road markings in specific locations. Prohibited parking areas include within 25 meters of an intersection (or 10 meters on a minor road), within 30 meters on the approach side of an omnibus stopping place, and 15 meters on the departure side. Parking is also restricted within 15 meters on the approach to an omnibus stopping bay and 10 meters from the departure point. Additionally, parking is prohibited within 30 meters from a Pedestrian Crossing on the approach side, 15 meters on the departure side, or directly on the crossing. Lastly, parking restrictions extend to 50 meters from the approach side of traffic lights at an intersection, 30 meters from pedestrian-operated traffic lights (not at an intersection), and 15 meters on the departure side of pedestrian-operated traffic signals. The specified distances are measured and marked using road markings.",,,,,,,,,,,,,,,,,,,,,,
373,"Direction indicator signals are signals:
(a) Given to inform the other road users of the driver's intention to move to right or turn right
(b) Given to indicate to other road users of the driver's intention to move to the left or turn left or stop on the left
(c) Given to inform the other road users of the driver's intention to slow down or to stop.",Motor Traffic Law,"Direction indicator signals serve the purpose of informing other road users about the driver's intentions. These signals are:
(a) To indicate the driver's intention to move to the right or turn right.
(b) To signal the intention to move to the left, turn left, or stop on the left.
(c) Not used to communicate the intention to slow down or stop.",,,,,,,,,,,,,,,,,,,,,,
374,"(1) Police Officers on traffic duty may use Traffic Control Devices or Arm Signals for the purpose of conveying to traffic on a specified road, a requirement or a warning that must be followed by the drivers of vehicles thereon.
(2) Traffic Control Signals given by direction indicator signals are used to indicate to other road users the intention of a driver to make certain maneuvers.",Motor Traffic Law,"Police Officers on traffic duty have the authority to use Traffic Control Devices or Arm Signals to convey requirements or warnings to traffic on a specified road, which drivers must follow. Additionally, direction indicator signals are employed by drivers to inform other road users of their intention to make specific maneuvers.",,,,,,,,,,,,,,,,,,,,,,
375,"(1) Any person transporting dangerous goods or hazardous substances, (whether comprising liquid, solid or gas) shall have affixed or cause to be affixed in the center and on all four sides of the container, motor vehicle for the purpose of such transport, the relevant ""Hazard Information Panel (Plate)"" as are depicted in Schedule IX to these regulations in a vertical position, so that every letter and figure of the warning plate is in a vertical position so as to be easily distinguishable.
(2) In the event of any spillage from any vehicle bearing Hazard Information Panels (Plate) all persons using the road should keep well away from the spillage and forthwith inform the police, fire brigade and the respective disaster management centers.",Motor Traffic Law,"Any individual transporting dangerous goods or hazardous substances must ensure that the relevant ""Hazard Information Panel (Plate)"" is affixed in the center and on all four sides of the transporting container or motor vehicle. The warning plate should be positioned vertically, with every letter and figure in an easily distinguishable vertical position. In case of spillage from a vehicle with Hazard Information Panels, all road users are required to keep a safe distance from the spillage and promptly notify the police, fire brigade, and disaster management centers.",,,,,,,,,,,,,,,,,,,,,,
376,"(1) Information which may have to be given descriptively using words on any Additional Panel affixed below any sign and the information required to be given in signs categorized as Informative Signs or Miscellaneous Signs, shall be in the Sinhala, Tamil and English languages.
(2) Words used in Road Markings shall be in letters elongated in the direction of traffic as specified to the regulations, with no more than two words at any one place or for any purpose.",Motor Traffic Law,"(1) Descriptive information on Additional Panels below signs and on Informative or Miscellaneous Signs must be presented in the Sinhala, Tamil, and English languages.
(2) Road Markings must use letters elongated in the direction of traffic, as specified in the regulations, with no more than two words at any given location or for any specific purpose.",,,,,,,,,,,,,,,,,,,,,,
377,"(1) Where any instruction, information or symbol of an old sign is materially different from any instruction, information or symbol in the corresponding signs specified in these regulations the Competent Authority shall cause suchold sign to be replaced by the corresponding sign specified in these regulations or shall cause it to be made to conform to the requirements specified in these regulations:
(a) in the case of an old sign other than Road Markings or Traffic Light Signals within three years from the date on which these regulations shall come into operation
(b) in the case of a Road Marking or Traffic Light Signals within six months from the date on which these regulations shall come into operation.
(2) Any old sign other than a Road Marking or Traffic Light Signal may exist alongside or close to the corresponding new signs for a period not exceeding three months from the date on which a new sign, as specified in paragraph (1) is erected.
Provided however, the two signs should not convey meanings which are different or conflicting in their enforcement and application. If an old sign conveys a different or conflicting meaning the new signs erected under these regulations shall override those conveyed by the old sign.",Motor Traffic Law,"(1) Descriptive information on Additional Panels below signs and on Informative or Miscellaneous Signs must be presented in the Sinhala, Tamil, and English languages.
(2) Road Markings must use letters elongated in the direction of traffic, as specified in the regulations, with no more than two words at any given location or for any specific purpose.",,,,,,,,,,,,,,,,,,,,,,
378,"On the reverse side of every traffic sign or notice placed, erected or exhibited in conformity with these regulations, the Competent Authority shall cause to be displayed in letters not less than twenty-five millimeters in height, the official designation of the Competent Authority immediately preceded by the words ""By Order of"".",Motor Traffic Law,"The Competent Authority, as per regulations, must display the official designation on the reverse side of every traffic sign or notice. This designation, preceded by the words ""By Order of,"" should be in letters not less than twenty-five millimeters in height.",,,,,,,,,,,,,,,,,,,,,,
