Key,label questions
349,"What are the requirements conveyed by the ""Stop to give priority to vehicles on the adjacent road"" sign and the Road Marking ""Stop Line at 'STOP' signs or at traffic signals,"" and similarly, what requirements are conveyed by the ""Give way to vehicles on the adjacent road"" sign and the Road Marking ""'Give way' line at 'Give way' signs at roundabouts"" in the context of road regulations?"
350,"What are the regulations regarding the prohibition of parking of vehicles on roads or sections of roads, including the use of signs such as ""No Parking,"" ""No parking and standing,"" ""No parking on odd days,"" and ""No parking on even days""? Additionally, how are Additional Panels utilized to indicate the time limitations, direction, and start/end points of parking prohibitions or restrictions, and what are the restrictions on parking near intersections and halting places for omnibuses?"
351,Are there specific categories of Regulatory Signs?
352,"Under what circumstances and for what purposes can Temporary Signs be provided on or near a road, according to the regulations, and what types of information can these signs convey to drivers of vehicles and other road users?"
353,"What are the specifications for the size, color, and type of Temporary Signs according to the regulations, including the requirements for the background, lettering, numerals, and symbols, and how should the identity of the Competent Authority be indicated on such signs?"
354,"What are the specifications for the size, color, and type of Temporary Signs according to the regulations, including the requirements for the background, lettering, numerals, and symbols, and how should the identity of the Competent Authority be indicated on such signs?"
355,"Under what circumstances and specifications are Danger Warning Lamps, Flashers (Amber), and Electric Lamps used according to the regulations, and when may flashing lights in the sign representing ""Flashing Amber lights"" be used as an alternative?"
356,"For warning drivers approaching a Road Refuge, what are the specifications for the lamp in the form of an illuminated spherical globe, including its color, diameter, and height from the carriageway surface, according to the regulations?"
357,"What are the specific shapes, sizes, and colors of vehicle markings, red flags, traffic warden jackets, and police jackets, as indicated in the relevant diagrams in the regulations?"
358,"Under what circumstances and conditions is a promoter responsible for providing traffic signs, as outlined in the regulations, when conducting work on, in, or along a road, and what role does the Competent Authority play in approving and directing such actions?"
359,"What is the definition of a traffic sign in the context of conveying warnings, requirements, or information to traffic on roads?"
360,"How are Asphalt Strips utilized on a four-lane undivided road, and what are the specifications, including dimensions and materials, set by the Competent Authority for ensuring road user safety? Additionally, what regulations govern the use of longitudinal white lines in conjunction with Asphalt Strips, and under what circumstances are vehicles permitted to cross these strips?"
361,"What are the specifications regarding the projection limits of Road Markings, including studs, above the surface of the carriageway, as set by the Competent Authority? Additionally, what colors are generally prescribed for Road Markings, and are there any exceptions to this color scheme, specifically for certain types of Road Markings mentioned in the regulations?"
362,"What are the specifications regarding the projection limits of Road Markings, including studs, above the surface of the carriageway, as set by the Competent Authority? Additionally, what colors are generally prescribed for Road Markings, and are there any exceptions to this color scheme, specifically for certain types of Road Markings mentioned in the regulations?"
363,"What are the regulations and requirements regarding ""ZEBRA"" Pedestrian Crossings on two-lane and four-lane roads, including the optional placement of road studs and zigzag markings? Additionally, how are pedestrians and drivers expected to behave at Pedestrian Crossings, and what rules apply to the stopping and crossing of vehicles in proximity to these crossings?"
364,"What additional provision is mentioned for indicating parking prohibitions or restrictions, along with the specified Road Markings “No parking line”, “No parking double line”, “No parking double line with reflective studs”?"
365,"What are the specifications and conditions mentioned for the use of Light Signals in controlling drivers and providing information and directions to pedestrians at approved sites, according to the regulations?"
366,"What are the specifications and conditions outlined for Light Signals used to control drivers at road intersections and intersections with railroads, including details about the arrangement, size, color, and sequence of lights, as per the regulations?"
367,"What is the significance of Light Signals, including the meanings conveyed by red, amber with red, green, and amber signals, as well as the conditions and exceptions outlined for vehicles approaching these signals in various situations?"
368,"How are Light Signals for pedestrians designed and placed, including the specifications for the red and green signals, their arrangement, height from the carriageway, and the periods during which pedestrians should not or should cross the carriageway? Additionally, what is the purpose and indication of a flashing green signal in pedestrian-controlled signals, as mentioned in regulation 33(3)?"
369,"Under what conditions and subject to which regulations, can flashing Light Signals displaying intermittent red or amber lights be used to provide indications to drivers?"
370,What are the specifications and significance of the flashing red Light Signals and under what conditions are they allowed to be used?
371,"What are the specifications for a single amber flashing light or a pair of amber flashing lights, and under what conditions are they allowed to be used, as per the information provided in this regulation?"
372,"Under what circumstances and at what specific locations may the Competent Authority restrict or prohibit parking of vehicles, as outlined in the regulations, including specified distances and locations in relation to intersections, omnibus stopping places, pedestrian crossings, and traffic lights?"
373,"What is the purpose of direction indicator signals, and how do they inform other road users about the driver's intentions, including movements to the right, left, or slowing down/coming to a stop?"
374,"How do Police Officers on traffic duty convey requirements or warnings to traffic, and what is the purpose of Traffic Control Signals given by direction indicator signals?"
375,"How should a person transporting dangerous goods or hazardous substances affix the relevant ""Hazard Information Panel (Plate)"" on the container or motor vehicle, and what precautions should individuals take in the event of spillage from a vehicle bearing such Hazard Information Panels?"
376,"For informative signs or miscellaneous signs, and additional panels affixed below any sign, what language requirements are specified, and how should words be presented in road markings according to the regulations?"
377,"When is the Competent Authority required to replace old signs with the corresponding signs specified in the regulations, and what provisions are there for the coexistence of old signs with new signs for a limited period?"
378,"How should the mounting height of traffic signs be determined, and what are the specifications for the dimensions of signs in different areas, including built-up areas, non-built-up areas, and expressways?"
379,"How does the Competent Authority recommend applying reflecting agents to signs, what is the prescribed painting pattern for posts supporting signs, and what are the specifications for the mounting height and dimensions of traffic signs in various locations, including built-up areas, non-built-up areas, and expressways?"
380,"What prohibitions does the regulation impose regarding the attachment of objects or installation of items to traffic signs or other Traffic Control Devices, and under what circumstances can a non-profit making association be authorized to install Informative Signs or emblems on signs without compromising their understanding or effectiveness?"
381,"Under what conditions and requirements can a person maintain a sign, notice, or marking intended for the guidance of road users?"
